State/UT,Capital,Type,Population,Percentage (%),Males Population,Females Population,Sex_Ratio,Literacy_rate,Male Literacy_rate,Female Literacy_rate,Rural population,Urban population,Area,Density,Decadal growth rate
ANDAMAN & NICOBAR ISLANDS,Port Blair,UT,380581,0.03,202871,177710,876,86.63,90.27,82.43,244411,135533,8249,46,6.70%
ANDHRA PRADESH,Hyderabad,State,84580777,6.99,42442146,42138631,993,67.02,74.88,59.15,56361702,28219075,275045,308,10.98%
ARUNACHAL PRADESH,Itanagar,State,1383727,0.11,713912,669815,938,65.38,72.55,57.7,1069165,313446,83743,17,25.90%
ASSAM,Dispur,State,31205576,2.58,15939443,15266133,958,72.19,77.85,66.27,26780526,4388756,78438,397,16.90%
BIHAR,Patna,State,104099452,8.6,54278157,49821295,918,61.8,71.2,51.5,92075028,11729609,94163,"1,102",25.10%
CHANDIGARH,Chandigarh,UT,1055450,0.09,580663,474787,818,86.05,89.99,81.19,29004,1025682,114,"9,252",17.10%
CHHATTISGARH,Raipur,State,25545198,2.11,12832895,12712303,991,70.28,80.27,60.24,19603658,5936538,135191,189,22.60%
DADRA & NAGAR HAVELI,Silvassa,UT,343709,0.03,193760,149949,774,76.24,85.17,64.32,183024,159829,491,698,55.50%
DAMAN & DIU,Daman,UT,243247,0.02,150301,92946,618,87.1,91.54,79.55,60331,182580,112,"2,169",53.50%
DELHI,Delhi,UT,16787941,1.39,8887326,7800615,868,86.21,90.94,80.76,944727,12905780,1484,"11,297",21%
GOA,Panaji,State,1458545,0.12,739140,719405,973,88.7,92.65,84.66,551414,906309,3702,394,8.20%
GUJARAT,Gandhinagar,State,60439692,4.99,31491260,28948432,919,78.03,85.75,69.68,34670817,25712811,196024,308,19.20%
HARYANA,Chandigarh,State,25351462,2.09,13494734,11856728,879,75.55,84.06,65.94,16531493,8821588,44212,573,19.90%
HIMACHAL PRADESH,Shimla,State,6864602,0.57,3481873,3382729,972,82.8,89.53,75.93,6167805,688704,55673,123,12.80%
JAMMU & KASHMIR,"Jammu(winter)
Srinagar(summer)",State,12541302,1.04,6640662,5900640,889,67.16,76.75,56.43,9134820,3414106,222236,56,23.70%
JHARKHAND,Ranchi,State,32988134,2.72,16930315,16057819,948,66.41,76.84,55.42,25036946,7929292,79714,414,22.30%
KARNATAKA,Bengaluru,State,61095297,5.05,30966657,30128640,973,75.36,82.47,68.08,37552529,23578175,191791,319,15.70%
KERALA,Thiruvananthapuram,State,33406061,2.76,16027412,17378649,"1,084",94,96.11,92.07,17445506,15932171,38863,859,4.90%
LAKSHADWEEP,Kavaratti,UT,64473,0.01,33123,31350,946,91.85,95.56,87.95,14121,50308,32,"2,013",6.20%
MADHYA PRADESH,Bhopal,State,72626809,6,37612306,35014503,931,69.32,78.73,59.24,52537899,20059666,308245,236,20.30%
MAHARASHTRA,Mumbai,State,112374333,9.28,58243056,54131277,929,82.34,88.38,75.87,61545441,50827531,307713,365,16.00%
MANIPUR,Imphal,State,2721756,0.21,1290171,1280219,992,79.21,83.58,70.26,1899624,822132,22327,122,18.70%
MEGHALAYA,Shillong,State,2966889,0.25,1491832,1475057,989,74.43,75.95,72.89,2368971,595036,22429,132,27.80%
MIZORAM,Aizawl,State,1097206,0.09,555339,541867,976,91.33,93.35,89.27,529037,561997,21081,52,22.80%
NAGALAND,Kohima,State,1978502,0.16,1024649,953853,931,79.55,82.75,76.11,1406861,573741,16579,119,âˆ’0.5%
ODISHA,Bhubaneshwar,State,41974218,3.47,21212136,20762082,979,72.87,81.59,64.01,34951234,6996124,155707,269,14.00%
PUDUCHERRY,Pondicherry,UT,1247953,0.1,612511,635442,"1,037",85.85,91.26,80.67,394341,850123,479,"2,598",27.70%
PUNJAB,Chandigarh,State,27743338,2.29,14639465,13103873,895,75.84,80.44,70.73,17316800,10387436,50362,550,13.70%
RAJASTHAN,Jaipur,State,68548437,5.66,35550997,32997440,928,66.11,79.19,52.12,51540236,17080776,342239,201,21.40%
SIKKIM,Gangtok,State,610577,0.05,323070,287507,890,81.42,86.55,75.61,455962,151726,7096,86,12.40%
TAMIL NADU,Chennai,State,72147030,5.96,36137975,36009055,996,80.09,86.77,73.44,37189229,34949729,130058,555,15.60%
TRIPURA,Agartala,State,3673917,0.3,1874376,1799541,960,87.22,91.53,82.73,2710051,960981,10486,350,14.70%
UTTAR PRADESH,Lucknow,State,199812341,16.5,104480510,95331831,912,67.68,77.28,57.18,155111022,44470455,240928,828,20.10%
UTTARAKHAND,Dehradun,State,10086292,0.83,5137773,4948519,963,79.63,87.4,70.01,7025583,3091169,53483,189,19.20%
WEST BENGAL,Kolkata,State,91276115,7.54,46809027,44467088,950,76.26,81.69,70.54,62213676,29134060,88752,"1,030",13.90%
